Word	Declined	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14
amicus:Abl.Sg	amīcō	ō	ō	e	e	e	e	e	e	e	e	e	e	e	e	e
amicus:Nom.Pl	amīcī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī
amicus:Acc.Sg	amīcum	um	um	um	um	um	um	um	um	um	um	um	um	um	um	um
amicus:Dat.Pl	amīcīs	īs	īs	a	us	us	a	a	ēī	īs	īs	īs	īs	īs	īs	īs
amnis:Nom.Sg	amnis	is	is	is	is	is	is	is	ērum	ōrum	ō	ō	ō	ō	ō	ō
amnis:Abl.Pl	amnibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus
amnis:Dat.Sg	amnī	ī	ī	ī	ī	ī	ī	ōs	ī	ī	ī	ī	ī	ī	ī	ī
amnis:Acc.Pl	amnēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs
amnis:Gen.Sg	amnis	is	is	is	is	is	is	is	is	ō	ō	ō	ō	ō	ō	ō
amnis:Gen.Pl	amnium	ium	ium	am	um	um	um	um	um	um	um	um	um	um	um	uum
amnis:Abl.Sg	amne	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e
amnis:Nom.Pl	amnēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs
amnis:Acc.Sg	amnem	em	em	uum	uum	uum	uum	uum	uum	uum	uum	um	uum	uum	uum	uum
amnis:Dat.Pl	amnibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus
amor:Nom.Sg	amor	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
amor:Abl.Pl	amōribus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus
amor:Dat.Sg	amōrī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī
amor:Acc.Pl	amōrēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs
amor:Gen.Sg	amōris	is	is	is	is	is	is	is	is	is	ō	ō	ō	ō	ō	ō
amor:Gen.Pl	amōrum	um	um	um	um	um	um	um	um	um	um	uum	um	um	um	um
amor:Abl.Sg	amōre	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e
amor:Nom.Pl	amōrēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs
amor:Acc.Sg	amōrem	em	uum	uum	uum	uum	uum	uum	uum	uum	uum	uum	uum	uum	uum	uum
amor:Dat.Pl	amōribus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus
