Word	Declined	0	1	2	3	4	5	6	7	8	9	10
amor:Acc.Pl	amōrēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs
amor:Gen.Sg	amōris	is	is	is	is	is	is	is	is	is	is	īs
amor:Gen.Pl	amōrum	um	um	um	um	um	um	um	um	um	um	um
amor:Abl.Sg	amōre	e	e	e	e	e	e	e	e	e	e	e
amor:Nom.Pl	amōrēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs
amor:Acc.Sg	amōrem	em	uum	uum	uum	uum	um	um	um	um	um	um
amor:Dat.Pl	amōribus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus
anima:Nom.Sg	anima	a	a	a	a	a	a	a	a	a	a	a
anima:Abl.Pl	animīs	īs	īs	īs	a	a	a	a	a	a	a	a
anima:Dat.Sg	animae	ae	ae	ae	a	a	a	a	a	a	a	a
anima:Acc.Pl	animās	ās	ās	ās	ās	am	am	ōrum	ēs	ēs	ēs	ēs
anima:Gen.Sg	animae	ae	ae	ae	a	a	a	a	a	a	a	a
anima:Gen.Pl	animārum	ārum	ā	am	am	am	am	ōrum	um	um	um	um
anima:Abl.Sg	animā	ā	ā	ās	ās	ās	ās	ō	e	e	e	e
anima:Nom.Pl	animae	ae	ae	a	a	a	a	a	a	a	a	a
anima:Acc.Sg	animam	am	am	ās	am	am	am	am	um	um	um	um
anima:Dat.Pl	animīs	īs	īs	a	a	a	a	a	a	is	ēī	us
animal:Nom.Sg	animal	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
animal:Abl.Pl	animālibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus
animal:Dat.Sg	animālī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī
animal:Acc.Pl	animālia	ia	ia	ī	ī	um	ī	ī	ī	ī	ī	ī
animal:Gen.Sg	animālis	is	īs	is	is	is	is	is	is	is	is	īs
animal:Gen.Pl	animālium	ium	am	ī	ī	ī	ī	ī	ī	ī	ī	ī
animal:Abl.Sg	animālī	ī	ū	ī	ū	ū	ī	NULL	NULL	NULL	a	a
animal:Nom.Pl	animālia	ia	ia	ī	ī	ī	ī	ī	ī	ī	ī	ī
animal:Acc.Sg	animal	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
animal:Dat.Pl	animālibus	ibus	ibus	ibus	uī	um	ibus	ibus	ibus	ibus	ibus	ibus
animus:Nom.Sg	animus	us	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī
animus:Abl.Pl	animīs	īs	īs	īs	a	a	a	a	a	a	a	a
animus:Dat.Sg	animō	ō	ō	e	ōrum	ōrum	ōrum	ō	um	ū	ū	ī
animus:Acc.Pl	animōs	ōs	ūs	ūs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs
animus:Gen.Sg	animī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī
animus:Gen.Pl	animōrum	ōrum	am	um	um	um	um	um	um	um	um	ū
animus:Abl.Sg	animō	ō	ō	ō	ō	ō	ō	ō	e	e	e	e
animus:Nom.Pl	animī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī
animus:Acc.Sg	animum	um	um	um	um	um	um	um	um	um	um	um
animus:Dat.Pl	animīs	īs	īs	a	a	a	us	a	a	a	ēī	ī
annus:Nom.Sg	annus	us	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī
annus:Abl.Pl	annīs	īs	īs	īs	īs	a	a	a	is	a	a	a
annus:Dat.Sg	annō	ō	ō	ō	ōrum	ōrum	ōrum	ō	ēbus	ū	ū	ī
annus:Acc.Pl	annōs	ōs	ūs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs
annus:Gen.Sg	annī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī
annus:Gen.Pl	annōrum	ōrum	am	um	um	um	um	um	um	um	um	ū
annus:Abl.Sg	annō	ō	ō	ō	ō	ō	ō	ō	ō	e	e	e
annus:Nom.Pl	annī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī
annus:Acc.Sg	annum	um	um	um	um	um	um	um	um	um	um	um
annus:Dat.Pl	annīs	īs	īs	īs	a	a	us	us	ūs	a	ēī	ī
aqua:Nom.Sg	aqua	a	a	a	a	a	a	a	a	a	a	a
aqua:Abl.Pl	aquīs	īs	īs	īs	a	īs	is	is	is	a	īs	īs
aqua:Dat.Sg	aquae	ae	ae	ae	N/A	a	a	a	a	a	a	īs
aqua:Acc.Pl	aquās	ās	ās	ās	ās	am	ōrum	ōrum	ēs	ēs	ēs	ēs
aqua:Gen.Sg	aquae	ae	ae	ae	N/A	a	a	a	a	a	a	a
aqua:Gen.Pl	aquārum	ārum	ā	am	ās	am	am	ōrum	um	um	um	um
aqua:Abl.Sg	aquā	ā	ā	ās	ās	am	ās	ō	e	e	e	e
aqua:Nom.Pl	aquae	ae	ae	a	N/A	a	a	a	a	a	a	a
aqua:Acc.Sg	aquam	am	am	ās	ōrum	am	am	ōrum	um	um	um	um
aqua:Dat.Pl	aquīs	īs	īs	īs	a	īs	is	is	is	is	ēī	us
ara:Nom.Sg	āra	a	a	a	a	a	a	a	a	a	a	a
ara:Abl.Pl	ārīs	īs	īs	īs	is	is	is	is	is	is	īs	a
ara:Dat.Sg	ārae	ae	ae	ae	N/A	īs	a	a	a	a	a	a
ara:Acc.Pl	ārās	ās	ās	ās	ās	am	am	ōrum	ēs	ēs	ēs	ēs
ara:Gen.Sg	ārae	ae	ae	ae	N/A	a	a	a	a	a	a	a
ara:Gen.Pl	ārārum	ārum	ārum	ārum	um	am	am	am	um	um	um	um
ara:Abl.Sg	ārā	ā	ā	ās	ās	ās	ās	ō	e	e	e	e
ara:Nom.Pl	ārae	ae	ae	a	N/A	a	a	a	a	a	a	a
ara:Acc.Sg	āram	am	am	am	um	am	am	am	um	um	um	um
ara:Dat.Pl	ārīs	īs	īs	īs	is	is	is	is	is	is	ēī	us
arbiter:Nom.Sg	arbiter	NULL	ūs	ēbus	ī	ī	ēs	ōrum	ium	a	īs	ōrum
arbiter:Abl.Pl	arbitrīs	īs	īs	a	īs	a	us	a	a	a	a	a
arbiter:Dat.Sg	arbitrō	ō	ō	e	ōrum	ōrum	ēs	ēs	um	um	ū	um
arbiter:Acc.Pl	arbitrōs	ōs	ūs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs
arbiter:Gen.Sg	arbitrī	ī	ī	ū	ī	ī	ī	ī	ī	ī	ī	ī
