Word	Declined	0	1
artus:Dat.Pl	artubus	ubus	ibus
arvum:Nom.Sg	arvum	um	um
arvum:Abl.Pl	arvīs	īs	īs
arvum:Dat.Sg	arvō	ō	e
arvum:Acc.Pl	arva	a	a
arvum:Gen.Sg	arvī	ī	ī
arvum:Gen.Pl	arvōrum	ōrum	ēs
arvum:Abl.Sg	arvō	ō	ō
arvum:Nom.Pl	arva	a	a
arvum:Acc.Sg	arvum	um	um
arvum:Dat.Pl	arvīs	īs	īs
arx:Nom.Sg	arx	NULL	NULL
arx:Abl.Pl	arcibus	ibus	ibus
arx:Dat.Sg	arcī	ī	ī
arx:Acc.Pl	arcēs	ēs	ēs
arx:Gen.Sg	arcis	is	is
arx:Gen.Pl	arcium	um	a
arx:Abl.Sg	arce	e	e
arx:Nom.Pl	arcēs	ēs	ēs
arx:Acc.Sg	arcem	em	em
arx:Dat.Pl	arcibus	ibus	ibus
aspectus:Nom.Sg	aspectus	us	us
aspectus:Abl.Pl	aspectibus	ibus	ibus
aspectus:Dat.Sg	aspectuī	uī	uī
aspectus:Acc.Pl	aspectūs	ūs	us
aspectus:Gen.Sg	aspectūs	ūs	ūs
aspectus:Gen.Pl	aspectuum	uum	uī
aspectus:Abl.Sg	aspectū	ū	ū
aspectus:Nom.Pl	aspectūs	ūs	us
aspectus:Acc.Sg	aspectum	um	um
aspectus:Dat.Pl	aspectibus	ibus	ibus
astrum:Nom.Sg	astrum	um	um
astrum:Abl.Pl	astrīs	īs	ium
astrum:Dat.Sg	astrō	ō	e
astrum:Acc.Pl	astra	a	ēs
astrum:Gen.Sg	astrī	ī	ēbus
astrum:Gen.Pl	astrōrum	ōrum	ōrum
astrum:Abl.Sg	astrō	ō	ō
astrum:Nom.Pl	astra	a	ēs
astrum:Acc.Sg	astrum	um	um
astrum:Dat.Pl	astrīs	īs	a
auctor:Nom.Sg	auctor	NULL	NULL
auctor:Abl.Pl	auctōribus	ibus	ibus
auctor:Dat.Sg	auctōrī	ī	ī
auctor:Acc.Pl	auctōrēs	ēs	ēs
