Word	Declension	Gender	Case	TotFreq	LatSuf	Declined	0	1	2	3	4	5	6	7	8	9	10
aqua:Acc.Pl	1	f	Acc.Pl	383	ās	aquās	ai	ai	ai	ai	ai	ai	ai	ai	ai	ai	ai
aqua:Gen.Sg	1	f	Gen.Sg	383	ae	aquae	ea	e	e	e	e	e	e	e	e	e	e
aqua:Gen.Pl	1	f	Gen.Pl	383	ārum	aquārum	aru	eu	e	ei	ei	ei	e	e	e	e	e
aqua:Abl.Sg	1	f	Abl.Sg	383	ā	aquā	a	a	a	a	a	a	a	a	a	a	a
aqua:Nom.Pl	1	f	Nom.Pl	383	ae	aquae	ea	a	ai	ai	ai	ai	ai	ai	ai	a	ai
aqua:Acc.Sg	1	f	Acc.Sg	383	am	aquam	a	a	a	a	a	a	a	a	a	a	a
aqua:Dat.Pl	1	f	Dat.Pl	383	īs	aquīs	ī	e	ei	ei	ei	ei	e	e	e	e	e
ara:Nom.Sg	1	f	Nom.Sg	199	a	āra	a	a	a	a	a	a	a	a	a	a	a
ara:Abl.Pl	1	f	Abl.Pl	199	īs	ārīs	ī		a	ai	ai	ai	ai	ai	ai	ai	ai
ara:Dat.Sg	1	f	Dat.Sg	199	ae	ārae	ea	e	e	e	e	e	e	e	e	e	e
