Word	Declension	Gender	Case	TotFreq	LatSuf	Declined	0	1	2	3	4	5	6	7	8	9	10
ala:Nom.Pl	1	f	Nom.Pl	73	ae	ālae	e	ai	ai	ai	ai	ai	ai	ai	ai	ai	ai
ala:Acc.Sg	1	f	Acc.Sg	73	am	ālam	a	a	a	a	a	a	a	a	a	a	a
ala:Dat.Pl	1	f	Dat.Pl	73	īs	ālīs	ī	ei	ei	ei	ei	ei	ei	ei	ei	ei	ei
altum:Nom.Sg	2	n	Nom.Sg	96	um	altum	o	o	o	o	o	o	o	o	o	o	o
altum:Abl.Pl	2	n	Abl.Pl	96	īs	altīs	ī	i	i	ai	ai	ai	ai	ai	ai	ai	ai
altum:Dat.Sg	2	n	Dat.Sg	96	ō	altō	o	e	e	e	e	e	e	e	e	ei	ei
altum:Acc.Pl	2	n	Acc.Pl	96	a	alta	a	a	ai	ai	ai	ai	ai	ai	ai	ai	ai
altum:Gen.Sg	2	n	Gen.Sg	96	ī	altī	i		e	e	e	e	e	e	e	ei	ei
altum:Gen.Pl	2	n	Gen.Pl	96	ōrum	altōrum	oro	i	ei	ei	ei	ei	ei	ei	ei	ei	ei
altum:Abl.Sg	2	n	Abl.Sg	96	ō	altō	o	o	o	o	o	o	o	o	o	o	o
altum:Nom.Pl	2	n	Nom.Pl	96	a	alta	a	ai	ai	ai	ai	ai	ai	ai	ai	ai	ai
altum:Acc.Sg	2	n	Acc.Sg	96	um	altum	o	o	o	o	o	o	o	o	o	o	o
altum:Dat.Pl	2	n	Dat.Pl	96	īs	altīs	ī		ei	ei	ei	ei	ei	ei	ei	ei	ei
amica:Nom.Sg	1	f	Nom.Sg	564	a	amīca	a	a	a	a	a	a	a	a	a	a	a
amica:Abl.Pl	1	f	Abl.Pl	564	īs	amīcīs	ī	ei	ai	ai	ai	ai	ai	ai	ai	ai	ai
amica:Dat.Sg	1	f	Dat.Sg	564	ae	amīcae	e	e	e	e	e	e	e	e	e	e	e
amica:Acc.Pl	1	f	Acc.Pl	564	ās	amīcās	ai	ai	ai	ai	ai	ai	ai	ai	ai	ai	ai
amica:Gen.Sg	1	f	Gen.Sg	564	ae	amīcae	e	e	e	e	e	e	e	e	e	e	e
amica:Gen.Pl	1	f	Gen.Pl	564	ārum	amīcārum	aro	ei	ei	ei	ei	ei	ei	ei	ei	ei	ei
amica:Abl.Sg	1	f	Abl.Sg	564	ā	amīcā	a	a	a	a	a	a	a	a	a	a	a
amica:Nom.Pl	1	f	Nom.Pl	564	ae	amīcae	e	ai	ai	ai	ai	ai	ai	ai	ai	ai	ai
amica:Acc.Sg	1	f	Acc.Sg	564	am	amīcam	a	a	a	a	a	a	a	a	a	a	a
amica:Dat.Pl	1	f	Dat.Pl	564	īs	amīcīs	ī	ei	ei	ei	ei	ei	ei	ei	ei	ei	ei
amicus:Nom.Sg	2	m	Nom.Sg	564	us	amīcus	oi	o	o	o	o	o	o	o	o	o	o
amicus:Abl.Pl	2	m	Abl.Pl	564	īs	amīcīs	ī	i	i	i	i	ai	ai	ai	ai	ai	ai
amicus:Dat.Sg	2	m	Dat.Sg	564	ō	amīcō	o		e	e	e	e	e	e	e	ei	ei
amicus:Acc.Pl	2	m	Acc.Pl	564	ōs	amīcōs	oi	i	i	i	i	ai	ai	ai	ai	ai	ai
amicus:Gen.Sg	2	m	Gen.Sg	564	ī	amīcī	i	i	e	e	e	e	e	e	e	ei	ei
amicus:Gen.Pl	2	m	Gen.Pl	564	ōrum	amīcōrum	oro	i	ei	ei	ei	ei	ei	ei	ei	ei	ei
amicus:Abl.Sg	2	m	Abl.Sg	564	ō	amīcō	o	o	o	o	o	o	o	o	o	o	o
amicus:Nom.Pl	2	m	Nom.Pl	564	ī	amīcī	i	i	i	i	i	ai	ai	ai	ai	ai	ai
amicus:Acc.Sg	2	m	Acc.Sg	564	um	amīcum	o	o	o	o	o	o	o	o	o	o	o
amicus:Dat.Pl	2	m	Dat.Pl	564	īs	amīcīs	ī	i	ei	ei	ei	ei	ei	ei	ei	ei	ei
amnis:Nom.Sg	3	m	Nom.Sg	244	is	amnis	ei	e	e	e	e	e	e	e	e	e	e
amnis:Abl.Pl	3	m	Abl.Pl	244	ibus	amnibus	eboi	ei	ei	ei	ei	ei	ei	ei	ei	ei	ei
