Declined Noun,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
advena:nomsg,f 1 nom sg,f 1 acc sg,f 1 acc sg,f 1 acc sg,f 1 acc sg,f 1 acc sg,f 1 acc sg,f 1 acc sg,f 1 acc sg,f 1 acc sg,f 1 acc sg,f 1 acc sg,f 1 acc sg,f 1 acc sg,f 1 acc sg,f 1 acc sg
aer:accpl,m 3 acc pl,m 3 gen pl,m 3 gen pl,m 3 gen pl,m 3 gen pl,m 3 gen pl,m 3 gen pl,m 3 gen pl,m 3 gen pl,f 3 gen pl,f 3 gen pl,f 3 gen pl,f 3 gen pl,f 3 gen pl,f 3 gen pl,f 3 gen pl
aer:nompl,m 3 nom pl,m 3 gen pl,m 3 gen pl,m 3 gen pl,m 3 gen pl,m 3 gen pl,m 3 gen pl,m 3 gen pl,m 3 gen pl,f 3 gen pl,f 3 gen pl,f 3 gen pl,f 3 gen pl,f 3 gen pl,f 3 gen pl,f 3 gen pl
aer:accsg,m 3 acc sg,m 3 acc sg,m 3 gen pl,m 3 gen pl,m 3 gen pl,m 3 gen pl,m 3 gen pl,m 3 gen pl,f 3 gen pl,f 3 gen pl,f 3 gen pl,f 3 gen pl,f 3 gen pl,f 3 gen pl,f 3 gen pl,f 3 gen pl
aer:genpl,m 3 gen pl,m 2 gen pl,m 3 gen pl,m 3 gen pl,f 3 gen pl,m 3 gen pl,f 3 gen pl,m 3 gen pl,f 3 gen pl,f 3 gen pl,f 3 gen pl,f 3 gen pl,f 3 gen pl,f 3 gen pl,f 3 gen pl,f 3 gen pl
aer:gensg,m 3 gen sg,m 3 gen pl,m 3 gen pl,m 3 gen pl,f 3 gen pl,f 3 gen pl,f 3 gen pl,m 3 gen pl,f 3 gen pl,f 3 gen pl,f 3 gen pl,f 3 gen pl,f 3 gen pl,f 3 gen pl,f 3 gen pl,f 3 gen pl
aer:nomsg,m 3 nom sg,m 3 nom sg,f 2 acc sg,f 1 gen sg,f 1 acc sg,f 1 gen sg,f 1 acc sg,f 1 acc sg,f 1 acc sg,f 1 acc sg,f 1 acc sg,f 1 acc sg,f 1 acc sg,f 1 acc sg,f 1 acc sg,f 1 acc sg
aestas:accpl,f 3 acc pl,f 1 acc sg,f 1 acc sg,f 1 acc sg,f 1 acc pl,f 1 gen pl,f 1 acc sg,f 3 gen pl,f 3 gen pl,f 3 gen pl,f 3 gen pl,f 3 gen pl,f 3 gen pl,f 3 gen pl,f 3 gen pl,f 3 gen pl
aestas:nompl,f 3 nom pl,f 1 acc sg,f 1 acc sg,f 1 acc sg,f 1 acc pl,f 1 gen pl,f 1 acc sg,f 3 gen pl,f 3 gen pl,f 3 gen pl,f 3 gen pl,f 3 gen pl,f 3 gen pl,f 3 gen pl,f 3 gen pl,f 3 gen pl
aestas:accsg,f 3 acc sg,f 3 acc sg,f 1 acc sg,f 1 acc sg,f 1 acc sg,f 1 gen sg,f 1 gen pl,f 1 gen pl,f 1 gen pl,f 3 gen pl,f 3 gen pl,f 3 gen pl,f 3 gen pl,f 3 gen pl,f 3 gen pl,f 3 gen pl
aestas:genpl,f 3 gen pl,f 1 acc pl,f 1 acc sg,f 1 acc sg,f 1 gen pl,f 1 gen sg,f 1 gen pl,f 1 gen pl,f 1 acc sg,f 3 gen pl,f 3 gen pl,f 3 gen pl,f 3 gen pl,f 3 gen pl,f 3 gen pl,f 3 gen pl
aestas:gensg,f 3 gen sg,f 1 acc pl,f 1 acc sg,f 1 acc sg,f 1 acc sg,f 1 gen sg,f 1 gen sg,f 1 gen pl,f 1 acc sg,f 3 gen pl,f 3 gen pl,f 3 gen pl,f 3 gen pl,f 3 gen pl,f 3 gen pl,f 3 gen pl
aestas:nomsg,f 3 nom sg,f 1 acc sg,f 1 acc sg,f 1 acc sg,f 1 acc sg,f 1 acc sg,f 1 acc sg,f 1 acc sg,f 1 acc sg,f 1 acc sg,f 1 acc sg,f 1 acc sg,f 1 acc sg,f 1 acc sg,f 1 acc sg,f 1 acc sg
