Word	Declension	Gender	CaseNum	Case	Num	TotFreq	LatSuf	Declined	0	1	2	3	4	5	6	7	8	9	10
192	amnis:Abl.Pl	3	m	Abl.Pl	Abl	Pl	244	ibus	amnibus	eui	i	i	i	i	i	i	i	i	i	i
193	amnis:Dat.Sg	3	m	Dat.Sg	Dat	Sg	244	ī	amnī	i	i	i	i	i	i	i	i	i	i	i
194	amnis:Acc.Pl	3	m	Acc.Pl	Acc	Pl	244	ēs	amnēs	i	i	i	i	i	i	i	i	i	i	i
195	amnis:Gen.Sg	3	m	Gen.Sg	Gen	Sg	244	is	amnis	i	i	i	i	i	i	i	i	i	i	i
196	amnis:Gen.Pl	3	m	Gen.Pl	Gen	Pl	244	ium	amnium	eu	i	i	i	i	i	i	i	i	i	i
197	amnis:Abl.Sg	3	m	Abl.Sg	Abl	Sg	244	e	amne	ea	ea	ea	ea	ea	ea	ea	ea	ea	ea	ea
198	amnis:Nom.Pl	3	m	Nom.Pl	Nom	Pl	244	ēs	amnēs	i	i	i	i	i	i	i	i	i	i	i
199	amnis:Acc.Sg	3	m	Acc.Sg	Acc	Sg	244	em	amnem	ea	ea	ea	ea	ea	ea	ea	ea	ea	ea	ea
200	amnis:Dat.Pl	3	m	Dat.Pl	Dat	Pl	244	ibus	amnibus	eui	i	i	i	i	i	i	i	i	i	i
201	amor:Nom.Sg	3	m	Nom.Sg	Nom	Sg	539		amor											
202	amor:Abl.Pl	3	m	Abl.Pl	Abl	Pl	539	ibus	amōribus	eui	i	i	i	i	i	i	i	i	i	i
203	amor:Dat.Sg	3	m	Dat.Sg	Dat	Sg	539	ī	amōrī	i	i	i	i	i	i	i	i	i	i	i
204	amor:Acc.Pl	3	m	Acc.Pl	Acc	Pl	539	ēs	amōrēs	i	i	i	i	i	i	i	i	i	i	i
205	amor:Gen.Sg	3	m	Gen.Sg	Gen	Sg	539	is	amōris	i	i	i	i	i	i	i	i	i	i	i
206	amor:Gen.Pl	3	m	Gen.Pl	Gen	Pl	539	um	amōrum	u	i	i	i	i	i	i	i	i	i	i
207	amor:Abl.Sg	3	m	Abl.Sg	Abl	Sg	539	e	amōre	ea	ea	ea	ea	ea	ea	ea	ea	ea	ea	ea
208	amor:Nom.Pl	3	m	Nom.Pl	Nom	Pl	539	ēs	amōrēs	i	i	i	i	i	i	i	i	i	i	i
209	amor:Acc.Sg	3	m	Acc.Sg	Acc	Sg	539	em	amōrem	ea	ea	ea	ea	ea	ea	ea	ea	ea	ea	ea
210	amor:Dat.Pl	3	m	Dat.Pl	Dat	Pl	539	ibus	amōribus	eui	i	i	i	i	i	i	i	i	i	i
211	anima:Nom.Sg	1	f	Nom.Sg	Nom	Sg	182	a	anima	a	a	a	a	a	a	a	a	a	a	a
212	anima:Abl.Pl	1	f	Abl.Pl	Abl	Pl	182	īs	animīs	i	i	i	i	i	i	i	i	i	i	i
213	anima:Dat.Sg	1	f	Dat.Sg	Dat	Sg	182	ae	animae	ea	e	i	i	i	i	i	i	i	i	i
214	anima:Acc.Pl	1	f	Acc.Pl	Acc	Pl	182	ās	animās	e	i	i	i	i	i	i	i	i	i	i
