Form	Root	Suffix	Case	Gender	Declension
operai	oper	ai	gensg	f	1
operārum	oper	ārum	genpl	f	1
operam	oper	am	accsg	f	1
operās	oper	ās	accpl	f	1
opīniō	opīniō	NULL	nomsg	f	3
opīniōnēs	opīniōn	ēs	nompl	f	3
opīniōnis	opīniōn	is	gensg	f	3
opīniōnum	opīniōn	um	genpl	f	3
opīniōnem	opīniōn	em	accsg	f	3
opīniōnēs	opīniōn	ēs	accpl	f	3
oppidum	oppid	um	nomsg	n	2
oppida	oppid	a	nompl	n	2
oppidī	oppid	ī	gensg	n	2
oppidōrum	oppid	ōrum	genpl	n	2
oppidum	oppid	um	accsg	n	2
oppida	oppid	a	accpl	n	2
ōra	ōr	a	nomsg	f	1
ōrae	ōr	ae	nompl	f	1
ōrae	ōr	ae	gensg	f	1
ōrārum	ōr	ārum	genpl	f	1
ōram	ōr	am	accsg	f	1
ōrās	ōr	ās	accpl	f	1
ōrātor	ōr	ātor	nomsg	m	3
ōrātōrēs	ōrātōr	ēs	nompl	m	3
ōrātōris	ōrātōr	is	gensg	m	3
ōrātōrum	ōrātōr	um	genpl	m	3
ōrātōrem	ōrātōr	em	accsg	m	3
ōrātōrēs	ōrātōr	ēs	accpl	m	3
orbis	orb	is	nomsg	m	3
orbēs	orb	ēs	nompl	m	3
orbis	orb	is	gensg	m	3
orbium	orb	ium	genpl	m	3
orbem	orb	em	accsg	m	3
orbīs	orb	īs	accpl	m	3
ōrdō	ōrdō	NULL	nomsg	m	3
ōrdinēs	ōrdin	ēs	nompl	m	3
ōrdinis	ōrdin	is	gensg	m	3
ōrdinum	ōrdin	um	genpl	m	3
ōrdinem	ōrdin	em	accsg	m	3
ōrdinēs	ōrdin	ēs	accpl	m	3
oriēns	or	iēns	nomsg	m	3
orientēs	or	ient-ēs	nompl	m	3
orientis	or	ient-is	gensg	m	3
orientum	or	ient-um	genpl	m	3
orientem	or	ient-em	accsg	m	3
orientēs	or	ient-ēs	accpl	m	3
ōs	ōs	NULL	nomsg	n	3
ōra	ōr	a	nompl	n	3
ōris	ōr	is	gensg	n	3
ōrum	ōr	um	genpl	n	3
ōs	ōs	NULL	accsg	n	3
ōra	ōr	a	accpl	n	3
ostium	ost	ium	nomsg	n	2
ostia	osti	a	nompl	n	2
ostiī	ost	iī	gensg	n	2
ostiōrum	ost	iōrum	genpl	n	2
ostium	ost	ium	accsg	n	2
ostia	osti	a	accpl	n	2
ovis	ov	is	nomsg	f	3
ovēs	ov	ēs	nompl	f	3
ovis	ov	is	gensg	f	3
ovium	ov	ium	genpl	f	3
ovem	ov	em	accsg	f	3
ovīs	ov	īs	accpl	f	3
pāla	pāl	a	nomsg	f	1
pālae	pāl	ae	nompl	f	1
pālae	pāl	ae	gensg	f	1
pālārum	pālār	um	genpl	f	1
pālam	pāl	am	accsg	f	1
pālās	pāl	ās	accpl	f	1
palea	pale	a	nomsg	f	1
paleae	pale	ae	nompl	f	1
paleae	pale	ae	gensg	f	1
paleārum	paleār	um	genpl	f	1
paleam	pale	am	accsg	f	1
paleās	pale	ās	accpl	f	1
pallium	pall	ium	nomsg	n	2
pallia	palli	a	nompl	n	2
palliī	pall	iī	gensg	n	2
palliōrum	pall	iōrum	genpl	n	2
pallium	pall	ium	accsg	n	2
pallia	palli	a	accpl	n	2
palma	palm	a	nomsg	f	1
palmae	palm	ae	nompl	f	1
palmae	palm	ae	gensg	f	1
palmārum	palmār	um	genpl	f	1
palmam	palm	am	accsg	f	1
palmās	palm	ās	accpl	f	1
pānis	pān	is	nomsg	m	3
pānēs	pān	ēs	nompl	m	3
pānis	pān	is	gensg	m	3
pānum	pān	um	genpl	m	3
pānem	pān	em	accsg	m	3
pānēs	pān	ēs	accpl	m	3
pār	pār	NULL	nomsg	m	3
pāres	pār	es	nompl	m	3
pāris	pār	is	gensg	m	3
pārum	pār	um	genpl	m	3
pārem	pār	em	accsg	m	3
pāres	pār	es	accpl	m	3
parabola	parabol	a	nomsg	f	1
parabolae	parabol	ae	nompl	f	1
parabolae	parabol	ae	gensg	f	1
parabolārum	parabol	ārum	genpl	f	1
parabolam	parabol	am	accsg	f	1
parabolās	parabol	ās	accpl	f	1
parēns	par	ēns	nomsg	fh	3
parentēs	parent	ēs	nompl	fh	3
parentis	parent	is	gensg	fh	3
parentum	parent	um	genpl	fh	3
parentem	parent	em	accsg	fh	3
parentēs	parent	ēs	accpl	fh	3
parēns	par	ēns	nomsg	mh	3
parentēs	parent	ēs	nompl	mh	3
parentis	parent	is	gensg	mh	3
parentum	parent	um	genpl	mh	3
parentem	parent	em	accsg	mh	3
parentēs	parent	ēs	accpl	mh	3
pariēs	pari	ēs	nomsg	m	3
parietēs	pariet	ēs	nompl	m	3
parietis	pariet	is	gensg	m	3
parietum	pariet	um	genpl	m	3
parietem	pariet	em	accsg	m	3
parietēs	pariet	ēs	accpl	m	3
pars	pars	NULL	nomsg	f	3
partēs	part	ēs	nompl	f	3
partis	part	is	gensg	f	3
partium	part	ium	genpl	f	3
partim	part	im	accsg	f	3
partīs	part	īs	accpl	f	3
passer	pass	er	nomsg	m	3
passerēs	passer	ēs	nompl	m	3
passeris	passer	is	gensg	m	3
passerum	passer	um	genpl	m	3
passerem	passer	em	accsg	m	3
passerēs	passer	ēs	accpl	m	3
passus	pass	us	nomsg	m	4
passūs	pass	ūs	nompl	m	4
passūs	pass	ūs	gensg	m	4
passuum	pass	uum	genpl	m	4
passum	pass	um	accsg	m	4
passūs	pass	ūs	accpl	m	4
pastor	pastor	NULL	nomsg	mh	3
pastōrēs	pastōr	ēs	nompl	mh	3
pastōris	pastōr	is	gensg	mh	3
pastōrum	pastōr	um	genpl	mh	3
pastōrem	pastōr	em	accsg	mh	3
pastōrēs	pastōr	ēs	accpl	mh	3
pater	pater	NULL	nomsg	mh	3
patrēs	patr	ēs	nompl	mh	3
patris	patr	is	gensg	mh	3
patrum	patr	um	genpl	mh	3
patrem	patr	em	accsg	mh	3
patrēs	patr	ēs	accpl	mh	3
patria	patri	a	nomsg	f	1
patriae	patri	ae	nompl	f	1
patriae	patri	ae	gensg	f	1
patriārum	patri	ārum	genpl	f	1
patriam	patri	am	accsg	f	1
patriās	patri	ās	accpl	f	1
pauper	pauper	NULL	nomsg	fh	3
pauperēs	pauper	ēs	nompl	fh	3
pauperis	pauper	is	gensg	fh	3
pauperum	pauper	um	genpl	fh	3
pauperem	pauper	em	accsg	fh	3
pauperēs	pauper	ēs	accpl	fh	3
pauper	pauper	NULL	nomsg	mh	3
pauperēs	pauper	ēs	nompl	mh	3
pauperis	pauper	is	gensg	mh	3
pauperum	pauper	um	genpl	mh	3
pauperem	pauper	em	accsg	mh	3
pauperēs	pauper	ēs	accpl	mh	3
pāx	pāx	NULL	nomsg	f	3
pācēs	pāc	ēs	nompl	f	3
pācis	pāc	is	gensg	f	3
pācum	pāc	um	genpl	f	3
pācem	pāc	em	accsg	f	3
pācēs	pāc	ēs	accpl	f	3
peccātum	peccāt	um	nomsg	n	2
peccāta	peccāt	a	nompl	n	2
peccātī	peccāt	ī	gensg	n	2
peccātōrum	peccātōr	um	genpl	n	2
peccātum	peccāt	um	accsg	n	2
peccāta	peccāt	a	accpl	n	2
pecten	pecten	NULL	nomsg	m	3
pectinēs	pectin	ēs	nompl	m	3
pectinis	pectin	is	gensg	m	3
pectinum	pectin	um	genpl	m	3
