Word	Declension	Gender	CaseNum	Case	Num	TotFreq	LatSuf	Declined	0	1	2	3	4	5	6	7	8	9	10
185	amicus:Gen.Sg	2	m	Gen.Sg	Gen	Sg	564	ī	amīcī	i	i									
186	amicus:Gen.Pl	2	m	Gen.Pl	Gen	Pl	564	ōrum	amīcōrum	oro										
187	amicus:Abl.Sg	2	m	Abl.Sg	Abl	Sg	564	ō	amīcō	o	o	o	o	o	o	o	o	o	o	o
188	amicus:Nom.Pl	2	m	Nom.Pl	Nom	Pl	564	ī	amīcī	i										
189	amicus:Acc.Sg	2	m	Acc.Sg	Acc	Sg	564	um	amīcum	o	o	o	o	o	o	o	o	o	o	o
190	amicus:Dat.Pl	2	m	Dat.Pl	Dat	Pl	564	īs	amīcīs	i										
191	amnis:Nom.Sg	3	m	Nom.Sg	Nom	Sg	244	is	amnis	i	i	i	e	e	e	e	e	e	e	e
192	amnis:Abl.Pl	3	m	Abl.Pl	Abl	Pl	244	ibus	amnibus	ebo	e	i	i	i	i	i	i	i	i	i
193	amnis:Dat.Sg	3	m	Dat.Sg	Dat	Sg	244	ī	amnī	i	i	i	i	i	i	i	i	i	i	i
194	amnis:Acc.Pl	3	m	Acc.Pl	Acc	Pl	244	ēs	amnēs	i	i	i	i	i	i	i	i	i	i	i
195	amnis:Gen.Sg	3	m	Gen.Sg	Gen	Sg	244	is	amnis	i	i	i	i	i	i	i	i	i	i	i
196	amnis:Gen.Pl	3	m	Gen.Pl	Gen	Pl	244	ium	amnium	eo	o									
197	amnis:Abl.Sg	3	m	Abl.Sg	Abl	Sg	244	e	amne	e	i	e	e	e	e	e	e	e	e	e
198	amnis:Nom.Pl	3	m	Nom.Pl	Nom	Pl	244	ēs	amnēs	i		i	i	i	i	i	i	i	i	i
199	amnis:Acc.Sg	3	m	Acc.Sg	Acc	Sg	244	em	amnem	e	e	e	e	e	e	e	e	e	e	e
200	amnis:Dat.Pl	3	m	Dat.Pl	Dat	Pl	244	ibus	amnibus	ebo										
201	amor:Nom.Sg	3	m	Nom.Sg	Nom	Sg	539		amor		e	e	e	e	e	e	e	e	e	e
