Form	Root	Suffix	Case	Gender	Declension	Parent	English	Total	Prose	Poetry
mala	mal	a	Voc.Pl	n	2	malum	evil	908	635	273
terra	terr	a	Nom.Sg	f	1	terra	earth	905	435	470
terrae	terr	ae	Nom.Pl	f	1	terra	earth	905	435	470
terrae	terr	ae	Gen.Sg	f	1	terra	earth	905	435	470
terrārum	terr	ārum	Gen.Pl	f	1	terra	earth	905	435	470
terrae	terr	ae	Dat.Sg	f	1	terra	earth	905	435	470
terrīs	terr	īs	Dat.Pl	f	1	terra	earth	905	435	470
terram	terr	am	Acc.Sg	f	1	terra	earth	905	435	470
terrās	terr	ās	Acc.Pl	f	1	terra	earth	905	435	470
terrā	terr	ā	Abl.Sg	f	1	terra	earth	905	435	470
terrīs	terr	īs	Abl.Pl	f	1	terra	earth	905	435	470
terra	terr	a	Voc.Sg	f	1	terra	earth	905	435	470
terrae	terr	ae	Voc.Pl	f	1	terra	earth	905	435	470
fortūna	fortūn	a	Nom.Sg	f	1	fortuna	fortune, luck, destiny	886	784	102
fortūnae	fortūn	ae	Nom.Pl	f	1	fortuna	fortune, luck, destiny	886	784	102
fortūnae	fortūn	ae	Gen.Sg	f	1	fortuna	fortune, luck, destiny	886	784	102
fortūnārum	fortūn	ārum	Gen.Pl	f	1	fortuna	fortune, luck, destiny	886	784	102
fortūnae	fortūn	ae	Dat.Sg	f	1	fortuna	fortune, luck, destiny	886	784	102
fortūnīs	fortūn	īs	Dat.Pl	f	1	fortuna	fortune, luck, destiny	886	784	102
fortūnam	fortūn	am	Acc.Sg	f	1	fortuna	fortune, luck, destiny	886	784	102
fortūnās	fortūn	ās	Acc.Pl	f	1	fortuna	fortune, luck, destiny	886	784	102
fortūnā	fortūn	ā	Abl.Sg	f	1	fortuna	fortune, luck, destiny	886	784	102
fortūnīs	fortūn	īs	Abl.Pl	f	1	fortuna	fortune, luck, destiny	886	784	102
fortūna	fortūn	a	Voc.Sg	f	1	fortuna	fortune, luck, destiny	886	784	102
fortūnae	fortūn	ae	Voc.Pl	f	1	fortuna	fortune, luck, destiny	886	784	102
-	N/A	N/A	Nom.Sg	n	2	arma	defensive arms, war, soldiers, defense, tools	864	596	268
arma	arm	a	Nom.Pl	n	2	arma	defensive arms, war, soldiers, defense, tools	864	596	268
-	N/A	N/A	Gen.Sg	n	2	arma	defensive arms, war, soldiers, defense, tools	864	596	268
armōrum	arm	ōrum	Gen.Pl	n	2	arma	defensive arms, war, soldiers, defense, tools	864	596	268
-	N/A	N/A	Dat.Sg	n	2	arma	defensive arms, war, soldiers, defense, tools	864	596	268
armīs	arm	īs	Dat.Pl	n	2	arma	defensive arms, war, soldiers, defense, tools	864	596	268
-	N/A	N/A	Acc.Sg	n	2	arma	defensive arms, war, soldiers, defense, tools	864	596	268
arma	arm	a	Acc.Pl	n	2	arma	defensive arms, war, soldiers, defense, tools	864	596	268
-	N/A	N/A	Abl.Sg	n	2	arma	defensive arms, war, soldiers, defense, tools	864	596	268
armīs	arm	īs	Abl.Pl	n	2	arma	defensive arms, war, soldiers, defense, tools	864	596	268
-	N/A	N/A	Voc.Sg	n	2	arma	defensive arms, war, soldiers, defense, tools	864	596	268
arma	arm	a	Voc.Pl	n	2	arma	defensive arms, war, soldiers, defense, tools	864	596	268
mīles	mīles	NULL	Nom.Sg	m	3	miles	soldier	842	781	61
mīlitēs	mīlit	ēs	Nom.Pl	m	3	miles	soldier	842	781	61
